Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
C13,0603C_503,124.1000,7.3500,B,90,0.1UF_50V
C14,0603C_503,113.1000,7.1000,B,90,0.1UF_50V
C17,0603C_503,117.3500,-0.1500,B,90,0.1UF_50V
C18,0603C_503,117.3500,-1.6500,B,90,0.1UF_50V
C19,0603C_503,117.3500,2.8500,B,90,0.1UF_50V
C20,0603C_503,117.3500,1.3500,B,90,0.1UF_50V
C21,0603C_503,125.8500,1.1000,B,90,0.1UF_50V
C22,0603C_503,125.8500,2.6000,B,90,0.1UF_50V
C23,0603C_503,125.8500,-1.9000,B,90,0.1UF_50V
C24,0603C_503,125.8500,-0.4000,B,90,0.1UF_50V
C25,0603C_503,125.8500,-4.9000,B,90,0.1UF_50V
C26,0603C_503,125.8500,-3.4000,B,90,0.1UF_50V
C27,0603C_503,125.8500,-7.9000,B,90,0.1UF_50V
C28,0603C_503,125.8500,-6.4000,B,90,0.1UF_50V
C59,1206C_503,105.8500,-41.4000,B,90,10UF_10V
C60,0603C_503,106.8500,-37.6500,B,90,0.1UF_50V
C61,0603C_503,93.1000,-41.4000,B,90,0.1UF_50V
C62,1206C_503,92.8500,-43.4000,B,90,10UF_10V
C65,0603C_503,2.1000,8.1000,B,90,0.1UF_50V
C66,0603C_503,10.1000,8.1000,B,90,0.1UF_50V
C73,0603C_503,45.1000,8.1000,B,90,0.1UF_50V
C74,0603C_503,37.6000,8.1000,B,90,0.1UF_50V
C81,0603C_503,18.1000,8.1000,B,90,0.1UF_50V
C82,0603C_503,26.1000,8.1000,B,90,0.1UF_50V
C91,0603C_503,10.1000,-0.1500,B,90,0.1UF_50V
C92,0603C_503,10.1000,-1.6500,B,90,0.1UF_50V
C94,0603C_503,13.6000,1.3500,B,90,0.1UF_50V
C95,0603C_503,18.3500,1.3500,B,90,0.1UF_50V
C96,0603C_503,18.3500,2.8500,B,90,0.1UF_50V
C97,0603C_503,18.3500,-1.6500,B,90,0.1UF_50V
C98,0603C_503,18.3500,-0.1500,B,90,0.1UF_50V
C99,0603C_503,18.3500,-4.6500,B,90,0.1UF_50V
C100,0603C_503,18.3500,-3.1500,B,90,0.1UF_50V
C101,0603C_503,18.3500,-7.6500,B,90,0.1UF_50V
C102,0603C_503,18.3500,-6.1500,B,90,0.1UF_50V
C133,1206C_503,26.8500,-21.6500,B,0,10UF_10V
C134,0603C_503,22.8500,-21.4000,B,0,0.1UF_50V
C135,0603C_503,22.8500,-33.9000,B,0,0.1UF_50V
C136,1206C_503,26.8500,-34.6500,B,0,10UF_10V
C139,0603C_503,88.1000,-24.6500,B,90,0.1UF_50V
C144,0603C_503,59.3500,-17.4000,B,0,33PF_50V
C145,0603C_503,59.3500,-20.4000,B,0,33PF_50V
C146,0603C_503,68.3500,-3.6500,B,90,0.1UF_50V
C147,0603C_503,73.8500,-3.6500,B,90,0.1UF_50V
C148,0603C_503,82.3500,-3.6500,B,90,0.1UF_50V
C150,0603C_503,84.8500,-13.6500,B,0,0.1UF_50V
C151,0603C_503,84.8500,-20.9000,B,0,0.1UF_50V
C152,0603C_503,84.8500,-25.4000,B,0,0.1UF_50V
C153,0603C_503,64.3500,-3.6500,B,90,0.1UF_50V
C155,0603C_503,77.8500,-3.6500,B,90,0.1UF_50V
C158,0603C_503,84.8500,-8.9000,B,0,0.1UF_50V
C159,0603C_503,59.3500,-9.9000,B,0,0.1UF_50V
C168,0603C_503,72.8500,-34.6500,B,90,1NF_50V
C169,0603C_503,61.6000,-35.1500,B,90,22PF_50V
C170,0603C_503,61.6000,-36.6500,B,90,22PF_50V
C1001,0603C_503,5.6000,-1.6500,B,90,0.1UF_50V
C1002,0603C_503,5.8500,10.8500,B,90,0.1UF_50V
C1003,1206C_503,6.1000,8.8500,B,90,10UF_10V
C1004,0603C_503,6.1000,3.8500,B,90,100PF_50V
L24,0805I_503,72.8500,-36.4000,B,90,HZ0805E601R-10
L25,0805I_503,69.8500,-40.9000,B,0,HZ0805E601R-10
R7,0805R_503,106.6000,13.1000,B,90,100M_20%
R11,0805R_503,110.1000,13.1000,B,90,100M_20%
R15,0805R_503,113.6000,13.1000,B,90,100M_20%
R18,0805R_503,117.1000,13.1000,B,90,100M_20%
R20,0805R_503,120.6000,13.1000,B,90,100M_20%
R24,0805R_503,124.1000,13.1000,B,90,100M_20%
R52,0603R_503,0.6000,16.8500,B,90,10M_1%
R53,0603R_503,8.6000,16.8500,B,90,10M_1%
R58,0603R_503,2.1000,10.3500,B,90,200K_1%
R59,0603R_503,10.1000,10.3500,B,90,200K_1%
R66,0603R_503,4.6000,16.8500,B,90,10M_1%
R67,0603R_503,12.6000,16.8500,B,90,10M_1%
R68,0603R_503,44.3500,16.8500,B,90,10M_1%
R69,0603R_503,36.3500,16.8500,B,90,10M_1%
R74,0603R_503,45.1000,10.3500,B,90,200K_1%
R75,0603R_503,37.6000,10.3500,B,90,200K_1%
R82,0603R_503,48.6000,16.8500,B,90,10M_1%
R83,0603R_503,40.1000,16.8500,B,90,10M_1%
R84,0603R_503,16.6000,16.8500,B,90,10M_1%
R85,0603R_503,24.6000,16.8500,B,90,10M_1%
R90,0603R_503,17.8500,10.3500,B,90,200K_1%
R91,0603R_503,26.1000,10.3500,B,90,200K_1%
R98,0603R_503,20.6000,16.8500,B,90,10M_1%
R99,0603R_503,28.6000,16.8500,B,90,10M_1%
R101,0603R_503,10.1000,-3.1500,B,90,100R_1%
R103,0603R_503,10.3500,2.3500,B,0,100R_1%
R127,0603R_503,88.1000,-26.1500,B,90,100K_1%
R128,0603R_503,87.6000,-18.1500,B,90,10K_1%
R129,0603R_503,88.1000,-27.6500,B,90,100K_1%
R130,0603R_503,75.6000,-29.1500,B,90,0
R131,0603R_503,59.3500,-24.9000,B,0,1.5K_5%
R134,0603R_503,63.3500,-30.1500,B,0,330R_5%
R135,0603R_503,64.8500,-30.1500,B,0,330R_5%
R143,0603R_503,61.1000,-29.1500,B,90,100K_1%
R149,0603R_503,64.6000,-35.1500,B,90,24R_5%
R150,0603R_503,64.6000,-36.6500,B,90,24R_5%
R1001,0603R_503,5.6000,-3.1500,B,90,100K_1%
R1002,0603R_503,7.8500,6.1000,B,0,10R_5%
R1003,0603R_503,5.1000,6.1000,B,0,10K_1%
RP9,0805R_503,67.6000,-31.4000,B,90,742C083104J
RP10,0805R_503,71.3500,-31.4000,B,90,742C083104J
TP15,TP5016_503,125.6000,-22.9000,B,90,5016
U31,QFP144_507,72.1000,-16.4000,B,90,TMS320VC5506PGE
U32,SOT23-6_503,87.6000,-21.4000,B,90,TPS3106K33DBV
U1001,SOT23-503,6.3500,1.1000,B,90,AD8541ARTZ
Y1,QARTZ_504,56.1000,-18.6500,B,0,CS10-12.000MABJTR
